,Ссылка,Цена,Flat Score,Underground Score,Underground Place,Близость к метро,Общая площадь,Жилая площадь,Площадь кухни,Год постройки,Этаж,Залог,Комиссия,Высота потолков,Санузел,Балкон/лоджия,Оплата ЖКХ,Предоплата,Условия проживания
0,https://www.cian.ru/rent/flat/300696317/,80 000 ₽/мес.,758698.2,40.6259,14,Тульская: 11 мин. Крымская: 19 мин. Добрынинская: 4 мин. ,60,10 м²,10,2022,7 из 24,нет,50%,"2,7 м",2 раздельных,1 балкон,включена (без счётчиков),1 месяц,
1,https://www.cian.ru/rent/flat/300696315/,55 000 ₽/мес.,759638.2,56.6859,212,Щёлковская: 4 мин. Первомайская: 6 мин. Измайловская: 9 мин. ,58,"20,1",10,1990,13 из 17,55 000 ₽,50%,"2,7 м",1 раздельный,1 лоджия,включена (без счётчиков),1 месяц,можно с детьми
2,https://www.cian.ru/rent/flat/300696308/,84 000 ₽/мес.,757250.2,49.3349,50,Достоевская: 6 мин. Новослободская: 12 мин. Цветной бульвар: 13 мин. ,70,28,8,1972,2 из 9,84 000 ₽,,"2,7 м",1 совмещенный,2 лоджии,включена (без счётчиков),1 месяц,
3,https://www.cian.ru/rent/flat/300696300/,75 000 ₽/мес.,763656.0,49.097,171,Отрадное: 3 мин. Дегунино: 4 мин. Владыкино: 5 мин. ,65,36,12,2010,17 из 25,75 000 ₽,50%,"2,78 м",1 совмещенный,1 лоджия,включена (без счётчиков),1 месяц,
4,https://www.cian.ru/rent/flat/300696035/,50 000 ₽/мес.,732881.0,77.097,306,Улица Горчакова: 5 мин. Бульвар Адмирала Ушакова: 10 мин. Улица Скобелевская: 15 мин. ,56,38,8,1999,10 из 10,50 000 ₽,55%,"2,64 м",1 раздельный,1 балкон,включена (без счётчиков),1 месяц,можно с детьми и животными
5,https://www.cian.ru/rent/flat/300695816/,75 000 ₽/мес.,768802.4,47.3788,100,Академическая: 9 мин. Крымская: 20 мин. Профсоюзная: 4 мин. ,"56,2",35,UNDEF,1957,1 из 5,75 000 ₽,50%,3 м,1 совмещенный,,включена (без счётчиков),1 месяц,можно с детьми
6,https://www.cian.ru/rent/flat/300695669/,60 000 ₽/мес.,768174.8,63.9376,220,Медведково: 6 мин. Бабушкинская: 7 мин. Свиблово: 10 мин. ,85,47,15,2008,12 из 14,60 000 ₽,,3 м,2 совмещенных,2 лоджии,включена (счётчики включены),1 месяц,можно с детьми
7,https://www.cian.ru/rent/flat/300695632/,60 000 ₽/мес.,784389.6,47.5427,64,Коломенская: 5 мин. Кленовый бульвар: 5 мин. Автозаводская: 5 мин. ,55,35,10,1959,3 из 6,30 000 ₽,55%,3 м,1 раздельный,1 балкон,включена (без счётчиков),1 месяц,можно с детьми и животными
8,https://www.cian.ru/rent/flat/300695465/,85 000 ₽/мес.,741313.8,48.9931,131,Ботанический сад: 18 мин. Владыкино: 4 мин. Свиблово: 5 мин. ,55,25 м²,25,,6 из 18,85 000 ₽,50%,"2,7 м",1 совмещенный,,включена (без счётчиков),1 месяц,
9,https://www.cian.ru/rent/flat/300695459/,70 000 ₽/мес.,748206.0,55.097,171,Бибирево: 9 мин. Алтуфьево: 5 мин. Отрадное: 5 мин. ,56,27,11,2019,2 из 20,70 000 ₽,50%,"2,7 м",1 раздельный,,включена (без счётчиков),1 месяц,
10,https://www.cian.ru/rent/flat/300695369/,80 000 ₽/мес.,732541.4,55.5543,226,Сходненская: 3 мин. Планерная: 13 мин. Трикотажная: 7 мин. ,63,9 м²,9,1968,5 из 9,80 000 ₽,60%,"2,64 м",1 совмещенный,1 балкон,включена (без счётчиков),1 месяц,можно с детьми и животными
11,https://www.cian.ru/rent/flat/300695258/,60 000 ₽/мес.,758957.2000000001,60.37639999999999,242,Орехово: 8 мин. Домодедовская: 17 мин. Шипиловская: 4 мин. ,"56,6","37,7","6,2",1974,9 из 9,30 000 ₽,60%,"2,64 м",1 раздельный,1 лоджия,включена (без счётчиков),1 месяц,
12,https://www.cian.ru/rent/flat/300695201/,75 000 ₽/мес.,764712.6,50.3187,97,Волжская: 5 мин. Печатники: 5 мин. Люблино: 15 мин. ,55,40,8,1972,6 из 9,75 000 ₽,50%,"2,64 м",1 раздельный,1 балкон,включена (без счётчиков),1 месяц,можно с детьми и животными
